18,4,Wojciech Szczęsny,1990,Łukasz Fabiański,1985,,,,
19,4,James Franco,1978,,,,,,
20,4,Adolf Hitler,1889,,,,,,
21,4,Elżbieta II,1926,Bedoes,1998,,,,
22,4,Donald Tusk,1957,,,,,,
23,4,William Shakespeare,1564,John Cena,1977,,,,
24,4,Kelly Clarkson,1982,,,,,,
25,4,Al Pacino,1940,,,,,,
26,4,Channing Tatum,1980,,,,,,
27,4,Małgorzata Kożuchowska,1971,,,,,,
28,4,Ferruccio Lamborghini,1916,,,,,,
29,4,Jacob Rothschild,1936,,,,,,
30,4,Travis Scott,1991,,,,,,
1,5,Zygmunt Chajzer,1954,,,,,,
2,5,Dwayne Johnson,1972,,,,,,
3,5,Desiigner,1997,,,,,,
4,5,Beata Kozidrak,1960,,,,,,
5,5,Adele,1988,White 2115,1996,,,,
6,5,Dani Alves,1983,Zbigniew Wodecki,1950,,,,
7,5,Józef Poniatowski,1763,,,,,,
8,5,Enrique Iglesias,1975,,,,,,
9,5,Maradona,1969,,,,,,
10,5,Kamil Bednarek,1991,,,,,,
11,5,Andres Iniesta,1985,Salvador Dali,1904,,,,
12,5,Tony Hawk,1968,,,,,,
13,5,Stevie Wonder,1950,,,,,,
14,5,Mark Zuckerberg,1984,George Lucas,1944,,,,
15,5,O.S.T.R.,1980,,,,,,
16,5,Andrzej Duda,1972,Megan Fox,1986,,,,
17,5,Albrecht Hohenzollern,1490,,,,,,
18,5,Jan Paweł II,1920,,,,,,
19,5,Marshmello,1992,,,,,,
20,5,Karol Okrasa,1978,,,,,,
21,5,Notorious B.I.G.,1972,,,,,,
22,5,Novak Djokovic,1987,,,,,,
23,5,Dawid Podsiadło,1993,Maria Konopnicka,1842,,,,
24,5,Bob Dylan,1941,,,,,,
25,5,Cillian Murphy,1976,Kamil Stoch,1987,,,,
26,5,PewDiePie,1989,,,,,,
27,5,Grzegorz Hyży,1987,,,,,,
28,5,Michał Piróg,1979,,,,,,
29,5,John F. Kennedy,1917,,,,,,
30,5,Steven Gerrard,1980,,,,,,
31,5,Iga Świątek,2001,,,,,,
1,6,Marilyn Monroe,1926,Morgan Freeman,1937,Tom Holland,1996,,
2,6,Beetlejuice,1968,,,,,,
3,6,Łukasz Piszczek,1985,,,,,,
4,6,Bronisław Komorowski,1952,,,,,,
5,6,Mark Wahlberg,1971,,,,,,
6,6,OJWOJTEK,1994,,,,,,
