MPWI;18:00 poniedziałek 09.05.2022;kolokwium stacjonarne
WDC;14:15 czwartek 21.04.2022;egzamin NE AUD1P
MD;18:15 czwartek 21.04.2022;kolokwium 1 z matematyki dyskretnej
